author,updated_at,like_count,text
@KeWenZheFanAustralia,2024-01-22T21:18:45Z,1,感谢各位的支持下次再战，❤
@weijielian5968,2024-01-22T19:51:42Z,0,台湾的民主让人泪目，说两国又让人遗憾。
@weijielian5968,2024-01-22T19:43:07Z,0,大陆人来看了一下，还是柯p有点墨水的。
@shaolinbian6176,2024-01-22T12:16:02Z,0,柯站位高，的的确确
@user-ou9vq1rs5e,2024-01-21T21:23:51Z,0,你们要听阿根讲的话我就是阿根说的人有故事的人是我
@zhangliqiong324,2024-01-20T23:28:14Z,0,哈哈😄，侯口音像阿扁
@kenso9,2024-01-20T18:25:43Z,0,謝謝台灣給咱們的良好示範
@mR-zc1mp,2024-01-18T00:32:19Z,1,除了赖，另外两个好搞笑
@user-jw2sv1xd3v,2024-01-17T18:30:41Z,0,你有看過要打你說好幾百遍你還好好在那嗎
@user-jw2sv1xd3v,2024-01-17T18:30:02Z,0,真的會打早就打了為什麼那麼多臺灣人還看不懂
@leahflorencio-nc3mk,2024-01-17T17:37:34Z,0,👍👍
@leahflorencio-nc3mk,2024-01-17T17:37:12Z,0,🤣🤣🤣
@AlbaGirseMedia,2024-01-17T10:40:55Z,0,賴侯對峙如同小學生吵架
@user-qp2ur2mq9y,2024-01-16T06:09:20Z,0,你算是“国家”领导人吗？中华民族不应该团结起来吗？
@nacylian3453,2024-01-15T16:09:05Z,0,到底懂不懂臺語😅😅😅😅
@FL9527P,2024-01-15T15:33:17Z,0,最好就是一国两制。 国外有大陆挡着。省内可以民主施政
@FL9527P,2024-01-15T14:50:35Z,0,反正不要统一。统一了不会让你骑摩托车
@Travis_huo,2024-01-15T02:49:41Z,0,柯文哲，还是有智慧的人。
@yueweichen9406,2024-01-15T02:34:44Z,0,候友谊好令人无语啊！看他只想快进。
@yueweichen9406,2024-01-15T02:33:30Z,0,听不懂台语，讲国语可以吗？这种场合为何要讲方言?心好累啊
@user-os6vt3dv5h,2024-01-15T00:03:05Z,1,呵呵😄在中国人的领土上要占山为王，说得漂亮话一套一套😂想14亿人的民意可是吃素的？！你们没有几天可蹦跶了
@archiang1131,2024-01-14T23:18:47Z,0,全部是台独！电视台也是台独台！这些电视台要全部清除！
@anniezhao8877,2024-01-14T21:15:12Z,0,侯想做总统，回答为何不讲国语？很没风度！
@yukiliao6698,2024-01-14T17:26:51Z,0,🎉🎉🎉選哲你是對的，四年後再來。
@mtw21,2024-01-14T17:20:25Z,0,大家都在討論房事。
@user-fc2lq1eg3t,2024-01-14T16:20:10Z,0,希望赖省长竞选成功，武统加速台湾回归😅😅😅
@liuliudj6530,2024-01-14T13:00:54Z,0,柯文哲是最靠谱的候选人，有时候民主政治无法解决乌合之众的怪圈
@user-qq4oc2ok3l,2024-01-14T08:40:56Z,0,台湾不知道自己身份地位 不知道自己要什么 太可悲 你们可以是继承人 所以他们害怕
@user-qq4oc2ok3l,2024-01-14T08:38:43Z,0,听不下去 一中是地理 中国和台湾是指两个政权 不存在统一不统一
@user-sh2re1sd9u,2024-01-14T08:10:02Z,0,全民食莱不许标识=台湾的民主自由
@jingyvlee2294,2024-01-14T07:49:30Z,0,中华民族最大的悲哀不是两岸分治，而是时至今日，中国还是一个集权专政的国家。
@zzl9208,2024-01-14T07:17:38Z,0,有时间看看大陆的城建 再看看台北的破旧街道 还好意思说是治理的好 民主也要吃饭 也要安全
@zzl9208,2024-01-14T07:13:35Z,0,水平不行 就这还带领台湾 都是嘴炮 只是占了对手更差的便宜 国父的盖子都要气的按不住了
@longyaojun_,2024-01-14T04:10:56Z,0,支持蔡英文连任
@user-im6eg3pr3h,2024-01-14T01:35:08Z,0,時力要拿出來
@anniehotgirl3345,2024-01-14T01:34:05Z,0,"昨天2024/1/13開票結果讓我更肯定我們台灣🇹🇼人民真的很有智慧。👍👍。感恩媽祖上天保佑選出台灣新總統「賴清德」🎉❤👍👍👍🇹🇼🇹🇼㊗️㊗️
2024/1/14收看。
祝福大家一切平安順利健康。"
@anniehotgirl3345,2024-01-14T01:32:02Z,0,"不管新聞怎麼報，我的堅持一票投給（賴神2號）。🎉❤。只有賴神當選相信台灣🇹🇼民主自由讓世界看見台灣🇹🇼。感恩蔡總統領導有方，希望賴清德接棒持續下去做的更好。
2024/1/14號收看。
祝福大家：身體健康平安吉祥。"
@meiyenty6840,2024-01-14T01:28:42Z,0,https://youtu.be/Re_ja5guXnM?si=4aQ8uDIqSZX5Rb2u
@alexli2k,2024-01-14T00:16:20Z,0,畫餅大師
@zhaojunhuang2752,2024-01-13T23:20:23Z,0,賴清德表态与习共合作所謂的九二共事 什么事情都不能完成!這是真相。台湾獨立是附合台湾的和世界的最好的民主选择。与习共谈安全和平! 只能使台湾帶來灭頂之災!💥
@kaixin8370,2024-01-13T22:58:52Z,0,賴清德先生你现在是台湾總統了你有种的说就宣布台毒？
@yuanz4653,2024-01-13T20:13:51Z,0,賴總統多日來辛忙演講，聲音都有些嘶啞了，看的我直心痛，聽得出他有多麼愛臺灣和臺灣民眾，那些沒有把選票投給他和蕭美琴女士的，倘若有良心發現的一天一定會痛惜自己錯選的
@user-pk9uz4mh7o,2024-01-13T19:55:55Z,0,侯友宜回答问题有中国外交部的风采
@berry4530,2024-01-13T18:28:04Z,1,都是一家人😂
@tianlihu1220,2024-01-13T18:27:38Z,0,"Thanks to TTV news for hosting and sponsoring this wonderful presidential debate!👏
Thanks to those news media journalists for asking very great questions!👍 
Thanks to three presidential candidates for answering questions frankly! 😊
Here I'm adding my own comments: The mainland China is a part of the Republic of China 🇹🇼 and Taiwan is a part of the  Republic of China 🇹🇼 as always! 
 I abide by the Constitution of the Republic of China 🇹🇼 and all of its amendments! 
God bless the Republic of China 🇹🇼!
God bless you all, my beloved native country and my fellow citizens! 🙏 ❤"
@user-gi1ti4qk7f,2024-01-13T17:35:08Z,0,黑箱
@paulting8050,2024-01-13T16:56:47Z,0,号称得到从商大陆50万台商支持的蓝营，结果是这样的吗？
@barryw5589,2024-01-13T16:37:18Z,0,作为大陆人，我不支持🐒，因为听不懂他说啥😂
@leohao8807,2024-01-13T16:33:40Z,0,那位侯姓候选人，说的话为什么都听不懂？是闽南话吗？为什么不说国语？
@user-zd9wq7bu3w,2024-01-13T15:42:51Z,0,看在林俊憲面上沒重力真接用真功夫真攻賴清德！！！阿憲有真顧到百姓們！！！
@bertthomas4303,2024-01-13T15:32:12Z,0,最后一位台湾地区领导人😂，衰哦
@MatingRights,2024-01-13T14:29:47Z,0,中華帝國、中華黨國、中共黨國、中共帝國VS中華民國😁
@lswei880,2024-01-13T14:02:29Z,0,支持侯友谊总统实现两岸和平统一
@user-wk7uh4ur6l,2024-01-13T13:52:46Z,0,侯呀！說一些未來吧⋯⋯說說國民黨你們能為台灣人民做什麼？活在過去？指責在野政府有何用？你們國民黨全員回去你們的祖國→共產黨。台灣要民主、自由、和平、進步→走入國際世界。侯你的格局很狹隘、台灣需要有品格的人來當總統。
@williamz8354,2024-01-13T12:48:03Z,2,"我来自大陆，我知道你们不想统一，因为道理很简单。
这些党魁，不统一，尚且可以呼风唤雨，当上“总统”。统一之后，顶多是个省长；
普通老百姓，不统一，就这样。统一了，还是这样。大陆的人均水平甚至还没有台湾高，等高过台湾了，对普通老百姓才有吸引力；
企业家老板，不统一，大陆现在照样照顾台资企业，台湾老板，或者台湾员工，市场对台湾开放。统一后也是一样，这些应该是统一之后才能享受到的好处，现在他们已经在享受，所以这点是个关键。
总结，统一之后才能有的好处，现在没统一就享受得到的，应该全部先拿掉。再来看看会有什么变化。"
@userytojgdew,2024-01-13T11:23:00Z,0,"超級電腦怪怪的，為什麼開完票要離開台灣

https://youtu.be/C8_73Y1T6PE?si=iB-UJXwwY8Wxz6Jg"
@MiyaWei-wv2ue,2024-01-13T10:07:40Z,0,居然都投賴
@MiyaWei-wv2ue,2024-01-13T10:07:26Z,0,台灣沒希望了啦
@gagalai7348,2024-01-13T08:33:04Z,0,❤❤❤❤❤❤
@lovelessheaven,2024-01-13T08:22:35Z,1,賴是真的靠北 完全沒回答賴皮寮
@user-jv8cz9jw3g,2024-01-13T07:33:36Z,1,不聽了 投柯
@yuli3809,2024-01-13T07:29:30Z,0,柯文哲算是难得的头脑清醒的
@Chenpingan888,2024-01-13T07:15:28Z,0,赖清德，大陆喊你过来坐牢了。做什么总统。
@chaunceytao6957,2024-01-13T06:21:37Z,1,我听不懂侯友谊讲话正常吗
@kakaka4891,2024-01-13T06:09:54Z,1,十年了 過往台灣搞了什麼？ 賣家當， 用台灣人血汗錢買一堆美國廢鐵 ， 個個沒錢賺 ， 自己挑吧
@damahouxp,2024-01-13T05:03:19Z,0,蓝营确实毫无希望。
@josezhang5574,2024-01-13T02:47:51Z,0,"票投国民党，等你是香港！！！

票投国民党，等你是香港！！！"
@user-gr4oj9ls4s,2024-01-13T01:28:42Z,0,你當然不是附庸.你就是集權
@FoxShen,2024-01-13T00:41:02Z,0,"我在上海，建议投赖，柯很会偷换概念，候你就看马英九……
无论在什么情况下，不要听别人说什么，看他做什么
请中华民国的全体公民珍惜你们手中的选票
我才30岁，但是我悲观的觉得我这辈子都不会有选票
珍惜你们得之不易的自由民主"
@user-wb5it7bj2f,2024-01-12T23:31:32Z,0,候友宜说话听不太懂哎，不会影响选举吗
@zixiaozong2048,2024-01-12T22:25:56Z,0,赖先生你是真敢说啊，你是风险最低的组合。。。
@jpotato742,2024-01-12T20:58:08Z,1,哦，原来四四方方这个就是猴友谊，第一次看到，跟隔壁家看王很像，太丑了形象太差了。还是清德还有KP靓仔！😂❤❤❤❤❤❤❤
@0911407858,2024-01-12T19:53:54Z,0,我們的賴賴在教我們怎麼公然的說幹話，真的是可笑可笑
@waikeongwong1225,2024-01-12T19:37:25Z,0,试问自己是什么种族人！讲是什么语言！什么宗教为主！你们敢说是白种人吗?美国有在全球人面前承认台湾是他们的子女吗?美国有给到台湾1千三百多亿的经济贸易吗?我们海外华人只是说事实而不是针对台湾
@waikeongwong1225,2024-01-12T19:31:07Z,0,我们海外华人还有全球很多朋友们看不好台湾永远没有前进的道路如果给这样没有远见思想的人当家，台湾人觉得或者肯定亲外族人就有主权吗?在我们全球人里这几年里台湾根本就没有什么事情都是要经过和问过外族爸爸和哥哥的意思先，这就是你们所谓的民主！
@user-yw9zh2ht5u,2024-01-12T19:21:02Z,0,大陆人，柯文哲的理念不偏激，不偏执，两岸永远不会有战事开端，同文同源同宗，如何刀兵相见？
@waikeongwong1225,2024-01-12T19:15:46Z,0,我们海外华人认为亲美就打，不只要面对对岸而且不要忘记还有海外华人，做人做事情最好就是和谐和实干这样才给人家服你而不是帮忙着白种人来阻拦全球同根同族复兴崛起的道路
@user-op6ju2dq7g,2024-01-12T18:28:17Z,0,柯文哲才是真正人民的首選
@WonderfulWorld-pr8xy,2024-01-12T18:25:21Z,0,不是台湾人，但喜欢柯文哲
@Nick-zg8sz,2024-01-12T16:54:19Z,2,"說的都容易 但執行力強大的人  行得正講話才可以這樣斬釘截鐵 
不貪污本來就是政治人物要有的只是大家被污然慣了
用心做事還一心為人民好的政治人物奇蹟
柯文哲不能留在台大就因為他有更強的能力需要做老天爺派他來當總統
唯一的選擇只能有他了"
@user-hy9ef2ne9w,2024-01-12T14:55:00Z,1,不以政治立场，单从演讲表达能力来看的话，柯文哲>赖清德>侯友宜。给侯先生一个建议就是，你的闽南话和国语切换过于频繁，观感不太好，听起来要求也更高，难度更大。😘
@user-lq8fo1oi2q,2024-01-12T13:49:20Z,0,.候有宜買台
@user-jy4ee2yi6v,2024-01-12T13:00:32Z,0,請問世界哪裡獨立沒有流血！請問哪位準備好了？？？
@user-jy4ee2yi6v,2024-01-12T12:57:35Z,0,侯進學校的時候台灣是什麼國家
@dlw2024,2024-01-12T12:49:51Z,0,不选赖清德，台湾就会变成下一个香港，看你们造化了😊
@jogy0218,2024-01-12T10:14:56Z,0,為啥我聽完科會拍手
@user-gj9ng8uv8y,2024-01-12T10:05:52Z,2,侯友宜，你别一会闽南话一会台腔的，用一种腔调讲下来不好么？
@jokiloms,2024-01-12T09:56:54Z,0,同意五筒
@user-vs8ju8qq5y,2024-01-12T08:11:48Z,0,想不通 大多数人都看的清楚台湾只是美国用来牵制中国的牌 那天用不到了牌也就废了 美国种族歧视那么严重 自己国家黑白人都不能相处尊重 更何况台湾 日本侵略台湾 你们都忘了吗 台湾人民 如果你们没有选出一个懂道理知道出路的领导人 中国迟早会武统
@user-fz4zj5jh7g,2024-01-12T05:42:59Z,0,赖没有回答美中台的问题😂
@Duomaoxiong,2024-01-12T05:01:44Z,0,柯文哲讲一半进广告😂
@chang2922,2024-01-12T03:31:15Z,0,幹話一堆改革改不了我投廢票
